payment_id;claim_id;payment_date;payment_type;payment_value
184973;5818;2023-01-31 00:00:00+00:00;RESPONSABILIDAD CIVIL;10000000.0
744404;4240;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;20000000.0
957802;524;2023-01-21 00:00:00+00:00;CONDUCTOR ELEGIDO;29000000.0
247272;2926;2023-01-26 00:00:00+00:00;GRÚA;56000000.0
343008;6321;2023-01-25 00:00:00+00:00;CONDUCTOR ELEGIDO;55000000.0
360658;5107;2023-01-08 00:00:00+00:00;CONDUCTOR ELEGIDO;82000000.0
103235;9680;2023-01-13 00:00:00+00:00;PÉRDIDA TOTAL;10000000.0
386894;7443;2023-01-20 00:00:00+00:00;PÉRDIDA PARCIAL;11000000.0
746976;3311;2023-01-21 00:00:00+00:00;PÉRDIDA TOTAL;45000000.0
574331;8280;2023-01-19 00:00:00+00:00;GRÚA;70000000.0
740975;7438;2023-01-28 00:00:00+00:00;PÉRDIDA TOTAL;60000000.0
67448;7230;2023-01-10 00:00:00+00:00;GRÚA;60000000.0
536498;9158;2023-01-04 00:00:00+00:00;PÉRDIDA PARCIAL;67000000.0
751966;8287;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;2000000.0
49062;8994;2023-01-19 00:00:00+00:00;CONDUCTOR ELEGIDO;12000000.0
206192;3450;2023-01-28 00:00:00+00:00;GRÚA;8000000.0
309382;6000;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;6000000.0
430761;4230;2023-01-13 00:00:00+00:00;CONDUCTOR ELEGIDO;45000000.0
721529;629;2023-01-22 00:00:00+00:00;PÉRDIDA TOTAL;80000000.0
807279;6694;2023-01-02 00:00:00+00:00;RESPONSABILIDAD CIVIL;24000000.0
768283;3445;2023-01-11 00:00:00+00:00;GRÚA;16000000.0
311627;7736;2023-01-05 00:00:00+00:00;PÉRDIDA TOTAL;67000000.0
512701;4647;2023-01-16 00:00:00+00:00;PÉRDIDA TOTAL;24000000.0
349747;3191;2023-01-04 00:00:00+00:00;PÉRDIDA TOTAL;34000000.0
498658;9956;2023-01-17 00:00:00+00:00;GRÚA;35000000.0
219224;2422;2023-01-09 00:00:00+00:00;PÉRDIDA TOTAL;65000000.0
147970;1345;2023-01-15 00:00:00+00:00;PÉRDIDA PARCIAL;90000000.0
763;5477;2023-01-07 00:00:00+00:00;PÉRDIDA PARCIAL;94000000.0
345807;2677;2023-01-16 00:00:00+00:00;RESPONSABILIDAD CIVIL;15000000.0
128588;3861;2023-01-27 00:00:00+00:00;GRÚA;48000000.0
152377;7149;2023-01-28 00:00:00+00:00;RESPONSABILIDAD CIVIL;23000000.0
831512;6694;2023-01-21 00:00:00+00:00;PÉRDIDA TOTAL;88000000.0
174052;7448;2023-01-05 00:00:00+00:00;CONDUCTOR ELEGIDO;15000000.0
276339;4258;2023-01-23 00:00:00+00:00;PÉRDIDA TOTAL;96000000.0
563784;5641;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;70000000.0
983051;4198;2023-01-11 00:00:00+00:00;RESPONSABILIDAD CIVIL;65000000.0
996364;4008;2023-01-08 00:00:00+00:00;CONDUCTOR ELEGIDO;50000000.0
669969;263;2023-01-22 00:00:00+00:00;PÉRDIDA TOTAL;11000000.0
494170;8223;2023-01-09 00:00:00+00:00;GRÚA;10000000.0
667109;730;2023-01-16 00:00:00+00:00;RESPONSABILIDAD CIVIL;4000000.0
366021;6815;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;46000000.0
340547;547;2023-01-22 00:00:00+00:00;RESPONSABILIDAD CIVIL;41000000.0
326464;5471;2023-01-01 00:00:00+00:00;PÉRDIDA TOTAL;92000000.0
401081;6330;2023-01-30 00:00:00+00:00;RESPONSABILIDAD CIVIL;94000000.0
736137;4809;2023-01-05 00:00:00+00:00;CONDUCTOR ELEGIDO;5000000.0
930705;5940;2023-01-25 00:00:00+00:00;PÉRDIDA PARCIAL;52000000.0
159967;51;2023-01-13 00:00:00+00:00;PÉRDIDA TOTAL;30000000.0
308603;603;2023-01-27 00:00:00+00:00;RESPONSABILIDAD CIVIL;6000000.0
282303;3270;2023-01-25 00:00:00+00:00;RESPONSABILIDAD CIVIL;96000000.0
805199;2058;2023-01-28 00:00:00+00:00;PÉRDIDA PARCIAL;47000000.0
650393;5291;2023-01-23 00:00:00+00:00;CONDUCTOR ELEGIDO;82000000.0
194817;918;2023-01-05 00:00:00+00:00;PÉRDIDA PARCIAL;14000000.0
835800;6158;2023-01-15 00:00:00+00:00;CONDUCTOR ELEGIDO;37000000.0
476718;272;2023-01-03 00:00:00+00:00;RESPONSABILIDAD CIVIL;59000000.0
996931;8436;2023-01-08 00:00:00+00:00;CONDUCTOR ELEGIDO;65000000.0
425686;6694;2023-01-15 00:00:00+00:00;PÉRDIDA TOTAL;79000000.0
641146;4321;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;29000000.0
456429;1798;2023-01-29 00:00:00+00:00;PÉRDIDA PARCIAL;14000000.0
813856;9384;2023-01-05 00:00:00+00:00;PÉRDIDA PARCIAL;5000000.0
192457;8444;2023-01-16 00:00:00+00:00;GRÚA;5000000.0
519095;9956;2023-01-01 00:00:00+00:00;PÉRDIDA TOTAL;21000000.0
994201;8937;2023-01-03 00:00:00+00:00;CONDUCTOR ELEGIDO;59000000.0
273603;2399;2023-01-28 00:00:00+00:00;PÉRDIDA TOTAL;24000000.0
854547;8271;2023-01-27 00:00:00+00:00;PÉRDIDA PARCIAL;58000000.0
563457;6305;2023-01-30 00:00:00+00:00;CONDUCTOR ELEGIDO;6000000.0
812034;4023;2023-01-05 00:00:00+00:00;PÉRDIDA PARCIAL;97000000.0
317601;52;2023-01-05 00:00:00+00:00;CONDUCTOR ELEGIDO;30000000.0
992231;2963;2023-01-22 00:00:00+00:00;CONDUCTOR ELEGIDO;15000000.0
622161;4044;2023-01-07 00:00:00+00:00;RESPONSABILIDAD CIVIL;36000000.0
645371;7736;2023-01-07 00:00:00+00:00;PÉRDIDA TOTAL;56000000.0
610761;2371;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;45000000.0
97979;9086;2023-01-06 00:00:00+00:00;PÉRDIDA PARCIAL;36000000.0
996010;3904;2023-01-02 00:00:00+00:00;RESPONSABILIDAD CIVIL;22000000.0
383153;932;2023-01-09 00:00:00+00:00;RESPONSABILIDAD CIVIL;46000000.0
420063;2365;2023-01-14 00:00:00+00:00;CONDUCTOR ELEGIDO;8000000.0
825909;5065;2023-01-04 00:00:00+00:00;PÉRDIDA PARCIAL;92000000.0
626775;761;2023-01-20 00:00:00+00:00;CONDUCTOR ELEGIDO;91000000.0
117967;636;2023-01-10 00:00:00+00:00;PÉRDIDA TOTAL;23000000.0
956626;2963;2023-01-06 00:00:00+00:00;PÉRDIDA TOTAL;10000000.0
496775;7701;2023-01-03 00:00:00+00:00;RESPONSABILIDAD CIVIL;90000000.0
648930;5765;2023-01-19 00:00:00+00:00;PÉRDIDA PARCIAL;59000000.0
302503;3975;2023-01-15 00:00:00+00:00;RESPONSABILIDAD CIVIL;71000000.0
63450;370;2023-01-23 00:00:00+00:00;PÉRDIDA TOTAL;32000000.0
961908;6239;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;85000000.0
790757;775;2023-01-01 00:00:00+00:00;CONDUCTOR ELEGIDO;62000000.0
386472;9729;2023-01-22 00:00:00+00:00;RESPONSABILIDAD CIVIL;4000000.0
622556;3327;2023-01-02 00:00:00+00:00;PÉRDIDA TOTAL;89000000.0
326306;9643;2023-01-11 00:00:00+00:00;GRÚA;41000000.0
308002;1572;2023-01-27 00:00:00+00:00;CONDUCTOR ELEGIDO;45000000.0
909956;5862;2023-01-26 00:00:00+00:00;RESPONSABILIDAD CIVIL;33000000.0
180640;6178;2023-01-15 00:00:00+00:00;RESPONSABILIDAD CIVIL;67000000.0
201870;2824;2023-01-09 00:00:00+00:00;GRÚA;32000000.0
128038;6818;2023-01-04 00:00:00+00:00;CONDUCTOR ELEGIDO;30000000.0
410199;9890;2023-01-11 00:00:00+00:00;GRÚA;68000000.0
587246;2049;2023-01-06 00:00:00+00:00;RESPONSABILIDAD CIVIL;74000000.0
390883;5784;2023-01-04 00:00:00+00:00;PÉRDIDA PARCIAL;49000000.0
632422;6178;2023-01-06 00:00:00+00:00;GRÚA;53000000.0
751638;6036;2023-01-21 00:00:00+00:00;PÉRDIDA PARCIAL;30000000.0
656377;8718;2023-01-04 00:00:00+00:00;PÉRDIDA TOTAL;74000000.0
562551;4044;2023-01-29 00:00:00+00:00;CONDUCTOR ELEGIDO;35000000.0
56691;2252;2023-01-02 00:00:00+00:00;PÉRDIDA TOTAL;23000000.0
985804;2247;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;2000000.0
385954;3825;2023-01-11 00:00:00+00:00;PÉRDIDA TOTAL;43000000.0
813995;9786;2023-01-18 00:00:00+00:00;CONDUCTOR ELEGIDO;73000000.0
960139;7280;2023-01-28 00:00:00+00:00;PÉRDIDA PARCIAL;48000000.0
73519;4260;2023-01-15 00:00:00+00:00;RESPONSABILIDAD CIVIL;61000000.0
23239;933;2023-01-29 00:00:00+00:00;RESPONSABILIDAD CIVIL;6000000.0
987697;49;2023-01-06 00:00:00+00:00;PÉRDIDA TOTAL;16000000.0
698932;5147;2023-01-11 00:00:00+00:00;PÉRDIDA PARCIAL;67000000.0
731795;1515;2023-01-08 00:00:00+00:00;CONDUCTOR ELEGIDO;22000000.0
