payment_id;claim_id;payment_date;payment_type;payment_value
744404;4240;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;20000000.0
641146;4321;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;29000000.0
985804;2247;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;2000000.0
952075;9680;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;73000000.0
367448;8422;2023-01-24 00:00:00+00:00;GRÚA;46000000.0
39607;8813;2023-01-24 00:00:00+00:00;GRÚA;31000000.0
794255;1953;2023-01-24 00:00:00+00:00;GRÚA;63000000.0
920049;46;2023-01-24 00:00:00+00:00;GRÚA;42000000.0
756745;5311;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;64000000.0
404374;1524;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;46000000.0
626425;2064;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;21000000.0
870059;524;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;9000000.0
436029;6016;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;16000000.0
863597;3056;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;49000000.0
573873;5641;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;80000000.0
259122;9891;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;72000000.0
548486;8038;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;82000000.0
907673;7616;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;50000000.0
86811;263;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;47000000.0
352061;8403;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;56000000.0
977530;3697;2023-01-24 00:00:00+00:00;GRÚA;85000000.0
181266;2990;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;33000000.0
847236;2677;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;58000000.0
425086;3460;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;29000000.0
382540;957;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;74000000.0
323919;4809;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;10000000.0
674041;6516;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;18000000.0
210307;1515;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;92000000.0
382470;8223;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;28000000.0
856613;2666;2023-01-24 00:00:00+00:00;GRÚA;88000000.0
763922;9229;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;93000000.0
694196;5291;2023-01-24 00:00:00+00:00;GRÚA;16000000.0
261935;2666;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;23000000.0
650075;8048;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;17000000.0
300895;1234;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;3000000.0
832679;8673;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;42000000.0
985187;4545;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;24000000.0
853806;6788;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;95000000.0
383709;5067;2023-01-24 00:00:00+00:00;GRÚA;44000000.0
416163;2180;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;52000000.0
691065;2150;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;58000000.0
999825;3323;2023-01-24 00:00:00+00:00;GRÚA;54000000.0
766822;1378;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;10000000.0
654645;6117;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;92000000.0
480290;3441;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;37000000.0
641847;4759;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;94000000.0
67000;3323;2023-01-24 00:00:00+00:00;GRÚA;8000000.0
711151;5135;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;68000000.0
626050;4917;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;50000000.0
623811;3697;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;55000000.0
264087;4417;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;56000000.0
726994;8770;2023-01-24 00:00:00+00:00;RESPONSABILIDAD CIVIL;83000000.0
663282;2394;2023-01-24 00:00:00+00:00;GRÚA;24000000.0
681013;6117;2023-01-24 00:00:00+00:00;GRÚA;85000000.0
139103;7177;2023-01-24 00:00:00+00:00;CONDUCTOR ELEGIDO;62000000.0
127439;7858;2023-01-24 00:00:00+00:00;PÉRDIDA TOTAL;25000000.0
263015;8681;2023-01-24 00:00:00+00:00;GRÚA;4000000.0
84757;7336;2023-01-24 00:00:00+00:00;PÉRDIDA PARCIAL;73000000.0
